"Name","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Ramon Laureano","17","67","3","10","6","2","3.0 %","22.4 %",".286",".435",".365",".388",".651",".424","172","0.8","7.1","0.2","0.9","17128"
"Matt Chapman","17","78","6","17","11","0","7.7 %","19.2 %",".306",".294",".292",".346",".597",".387","147","0.1","4.9","2.0","0.9","16505"
"Mark Canha","15","53","6","8","12","0","7.5 %","18.9 %",".435",".200",".261",".358",".696",".424","172","-0.5","4.4","-0.5","0.6","11445"
"Josh Phegley","14","47","3","5","11","0","6.4 %","27.7 %",".300",".320",".275",".348",".575",".377","140","-0.5","1.9","0.3","0.4","9308"
"Stephen Piscotty","14","61","2","10","8","1","8.2 %","18.0 %",".182",".349",".309",".361",".491",".357","127","0.2","2.3","-0.8","0.4","13367"
"Jurickson Profar","17","71","5","9","13","1","5.6 %","14.1 %",".262",".200",".231",".296",".492",".328","107","0.3","0.9","0.1","0.3","10815"
"Marcus Semien","17","80","3","12","7","2","10.0 %","15.0 %",".194",".193",".194",".275",".389",".283","77","0.8","-1.6","1.5","0.3","12533"
"Matt Olson","17","73","5","11","10","0","11.0 %","27.4 %",".266",".205",".203",".301",".469",".318","101","-0.1","0.0","-0.4","0.2","14344"
"Robbie Grossman","16","63","1","10","6","1","6.3 %","20.6 %",".155",".311",".259",".302",".414",".300","89","-0.2","-1.2","-0.1","0.1","5254"
