"Name","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Whit Merrifield","15","70","1","12","6","4","12.9 %","17.1 %",".180",".500",".410",".486",".590",".454","187","0.5","8.3","-0.7","1.0","11281"
"Jorge Soler","15","62","4","9","14","0","12.9 %","17.7 %",".283",".342",".321",".419",".604",".425","167","-0.1","5.3","-1.6","0.6","14221"
"Alex Gordon","15","65","0","11","9","1","12.3 %","13.8 %",".073",".375",".327",".400",".400",".347","115","-0.5","0.8","-0.4","0.3","5209"
"Hunter Dozier","15","65","1","10","9","0","9.2 %","27.7 %",".190",".385",".276",".354",".466",".342","111","-0.2","0.8","-0.6","0.2","15117"
"Martin Maldonado","11","37","2","5","2","0","2.7 %","24.3 %",".235",".217",".206",".250",".441",".287","74","-0.4","-1.6","1.1","0.1","6887"
"Adalberto Mondesi","11","48","1","8","8","4","0.0 %","33.3 %",".133",".345",".244",".239",".378",".253","51","0.5","-2.5","1.4","0.1","13769"
"Nicky Lopez","15","60","0","4","5","0","5.0 %","15.0 %",".054",".298",".250",".288",".304",".259","55","-0.5","-3.9","1.0","-0.1","19339"
"Cheslor Cuthbert","13","48","1","3","7","0","4.2 %","18.8 %",".087",".278",".239",".271",".326",".258","54","-0.4","-3.2","-1.0","-0.2","10473"
