Name,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
Anthony Rendon,17,76,6,20,18,0,11.80%,18.40%,0.431,0.435,0.4,0.474,0.831,0.517,222,0,12.2,0.5,1.5,12861
Juan Soto,17,75,3,11,14,1,16.00%,24.00%,0.226,0.341,0.274,0.4,0.5,0.383,135,-0.1,3.3,-0.9,0.5,20123
Victor Robles,17,65,3,12,7,3,6.20%,32.30%,0.254,0.371,0.271,0.328,0.525,0.354,116,0.4,1.8,0.9,0.5,18363
Adam Eaton,16,78,1,13,6,3,9.00%,17.90%,0.086,0.382,0.314,0.385,0.4,0.344,109,0.4,1.3,-0.8,0.3,11205
Yan Gomes,10,41,1,3,6,0,7.30%,29.30%,0.135,0.292,0.216,0.293,0.351,0.281,68,-0.3,-2,1,0,9627
Wilmer Difo,16,58,2,7,5,0,10.30%,27.60%,0.137,0.273,0.216,0.298,0.353,0.277,65,0.1,-2.6,0.5,0,14320
Ryan Zimmerman,16,61,1,4,9,0,14.80%,14.80%,0.098,0.214,0.196,0.311,0.294,0.273,63,0.2,-2.8,-1,-0.2,4220
Brian Dozier,15,56,2,6,2,1,5.40%,21.40%,0.135,0.211,0.192,0.25,0.327,0.25,47,-0.3,-4.2,0.4,-0.2,9810
