"Name","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Jose Altuve","17","79","6","15","16","2","8.9 %","19.0 %",".333",".490",".431",".481",".764",".510","230","-0.6","12.5","-0.7","1.4","5417"
"Yuli Gurriel","18","76","6","10","18","0","2.6 %","13.2 %",".329",".439",".425",".447",".753",".494","220","-0.3","11.3","-1.3","1.2","19198"
"Yordan Alvarez","17","69","5","10","11","0","14.5 %","27.5 %",".328",".382",".310",".420",".638",".435","179","-0.3","6.7","-1.6","0.7","19556"
"George Springer","16","78","6","15","15","0","11.5 %","19.2 %",".343",".196",".224",".333",".567",".369","135","0.1","3.6","0.9","0.7","12856"
"Michael Brantley","17","72","4","11","15","0","11.1 %","13.9 %",".258",".306",".306",".389",".565",".395","152","0.0","4.9","-0.8","0.6","4106"
"Robinson Chirinos","14","48","1","8","2","0","10.4 %","31.3 %",".150",".458",".300",".417",".450",".378","141","-0.2","2.4","0.3","0.4","3142"
"Alex Bregman","16","72","3","16","7","0","19.4 %","16.7 %",".196",".214",".214",".375",".411",".338","114","-0.3","1.0","0.5","0.4","17678"
"Josh Reddick","16","61","0","5","3","0","6.6 %","6.6 %",".036",".226",".214",".262",".250",".228","39","0.0","-4.7","-0.5","-0.3","3892"
