"Name","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Kevin Newman","20","93","4","12","15","4","6.5 %","10.8 %",".233",".403",".384",".424",".616",".430","169","-0.1","8.5","0.1","1.1","17696"
"Bryan Reynolds","18","76","1","12","10","0","9.2 %","22.4 %",".182",".510",".394",".461",".576",".435","172","-0.3","6.9","-1.1","0.8","19326"
"Corey Dickerson","18","52","1","7","13","0","5.8 %","19.2 %",".250",".421",".354",".385",".604",".399","149","0.3","3.6","-1.7","0.4","10762"
"Starling Marte","19","84","5","14","13","2","7.1 %","17.9 %",".253",".228",".240",".289",".493",".319","97","0.6","0.2","-0.8","0.2","9241"
"Adam Frazier","19","64","0","8","5","0","4.7 %","12.5 %",".119",".308",".271",".313",".390",".285","74","0.2","-2.0","0.5","0.1","15223"
"Elias Diaz","19","64","0","8","3","0","14.1 %","12.5 %",".091",".277",".236",".344",".327",".301","85","-0.2","-1.5","-1.5","-0.1","11680"
"Colin Moran","19","66","2","7","12","0","1.5 %","19.7 %",".169",".300",".262",".273",".431",".293","80","-0.4","-2.2","-1.0","-0.1","16909"
"Josh Bell","20","91","4","16","14","0","13.2 %","19.8 %",".237",".196",".197",".308",".434",".299","83","-0.7","-2.7","-2.7","-0.2","13145"
"Melky Cabrera","16","46","0","6","4","0","0.0 %","6.5 %",".087",".209",".196",".196",".283",".200","18","-0.3","-5.2","-1.2","-0.5","4022"
