"Name","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"George Springer","17","76","6","14","15","2","11.8 %","17.1 %",".364",".313",".318",".395",".682",".434","179","0.5","8.1","0.9","1.1","12856"
"Alex Bregman","17","77","7","12","16","0","18.2 %","14.3 %",".377",".227",".279",".416",".656",".433","178","-0.7","7.0","0.5","1.0","17678"
"Carlos Correa","16","71","6","10","14","0","5.6 %","28.2 %",".348",".390",".333",".366",".682",".423","172","0.1","6.6","0.8","1.0","14162"
"Michael Brantley","16","72","5","12","12","1","4.2 %","8.3 %",".309",".328",".353",".375",".662",".422","171","0.2","6.7","-0.8","0.8","4106"
"Robinson Chirinos","12","47","2","9","9","0","8.5 %","25.5 %",".237",".400",".316",".413",".553",".403","158","-0.1","3.3","0.3","0.5","3142"
"Josh Reddick","16","63","2","11","6","0","9.5 %","9.5 %",".158",".367",".351",".413",".509",".387","147","-0.4","3.4","-0.6","0.5","3892"
"Jose Altuve","17","72","2","8","8","0","15.3 %","13.9 %",".167",".167",".167",".306",".333",".285","78","-1.0","-3.0","-0.6","-0.1","5417"
"Yuli Gurriel","15","62","1","8","4","0","6.5 %","14.5 %",".121",".208",".190",".242",".310",".238","46","-0.2","-4.5","-1.1","-0.3","19198"
