"Name","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Wilson Ramos","26","104","3","10","18","1","2.9 %","10.6 %",".160",".465",".430",".452",".590",".441","180","-1.0","10.0","0.0","1.3","1433"
"Peter Alonso","29","126","10","18","26","0","7.9 %","23.0 %",".315",".333",".306",".389",".622",".410","160","-0.4","9.5","-1.8","1.1","19251"
"Jeff McNeil","19","80","7","16","16","0","8.8 %","12.5 %",".371",".245",".286",".375",".657",".420","166","-0.2","6.8","-0.1","0.9","15362"
"Michael Conforto","28","126","7","18","23","2","10.3 %","21.4 %",".257",".303",".275",".365",".532",".371","135","0.1","5.9","-1.2","0.9","16376"
"J.D. Davis","27","106","8","20","19","2","9.4 %","25.5 %",".298",".344",".309",".368",".606",".394","149","-0.4","6.5","-2.1","0.8","16219"
"Amed Rosario","27","129","1","16","11","3","3.1 %","18.6 %",".089",".384",".315",".341",".403",".319","101","0.1","0.2","1.2","0.5","15518"
"Joe Panik","23","83","1","14","10","0","4.8 %","9.6 %",".117",".294",".273",".317",".390",".303","90","-0.2","-1.3","0.4","0.2","11936"
"Todd Frazier","28","109","4","12","17","0","4.6 %","21.1 %",".178",".243",".218",".275",".396",".285","78","-0.2","-3.3","0.1","0.0","785"
"Juan Lagares","26","82","0","12","4","0","8.5 %","19.5 %",".095",".293",".230",".296",".324",".272","69","-0.2","-3.6","-0.5","-0.1","5384"
