"Name","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Jean Segura","16","73","3","14","9","2","8.2 %","12.3 %",".209",".364",".343",".397",".552",".398","147","0.5","5.0","0.6","0.8","5933"
"J.T. Realmuto","15","63","4","9","10","2","4.8 %","23.8 %",".283",".293",".267",".302",".550",".349","114","0.8","2.0","3.0","0.7","11739"
"Andrew McCutchen","16","73","3","11","14","1","15.1 %","16.4 %",".242",".340",".306",".411",".548",".403","149","-0.2","4.6","-0.1","0.7","9847"
"Cesar Hernandez","16","64","2","6","9","0","7.8 %","14.1 %",".207",".340",".310",".375",".517",".375","131","0.0","2.7","0.2","0.5","10556"
"Bryce Harper","16","72","2","9","9","1","13.9 %","31.9 %",".164",".324",".230",".333",".393",".309","88","0.0","-1.2","0.3","0.1","11579"
"Rhys Hoskins","16","71","2","6","9","1","18.3 %","21.1 %",".125",".244",".214",".352",".339",".308","88","0.0","-1.2","-1.0","0.0","16472"
"Odubel Herrera","16","50","0","3","6","2","12.0 %","26.0 %",".116",".267",".186",".300",".302",".270","63","0.3","-2.2","-0.8","-0.1","11476"
"Maikel Franco","14","52","0","4","2","0","3.8 %","19.2 %",".080",".225",".180",".212",".260",".204","19","-0.4","-5.9","0.2","-0.4","12179"
