"Name","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Paul DeJong","18","80","2","20","6","2","10.0 %","11.3 %",".250",".426",".389",".450",".639",".452","185","0.7","9.7","2.2","1.4","18015"
"Marcell Ozuna","17","74","8","19","23","2","16.2 %","16.2 %",".459",".244",".295",".419",".754",".461","191","0.4","9.3","0.0","1.1","10324"
"Dexter Fowler","16","62","1","9","7","0","11.3 %","17.7 %",".148",".476",".389",".468",".537",".429","170","-0.4","5.3","-0.5","0.7","4062"
"Jose Martinez","18","58","1","10","11","1","5.2 %","15.5 %",".130",".489",".426",".448",".556",".423","166","0.0","5.1","-1.3","0.5","7996"
"Paul Goldschmidt","18","81","4","15","10","0","7.4 %","23.5 %",".203",".373",".311",".370",".514",".373","133","0.4","3.9","-1.1","0.5","9218"
"Yadier Molina","16","67","2","7","19","1","1.5 %","4.5 %",".188",".311",".328",".328",".516",".346","116","-0.5","0.8","1.3","0.4","7007"
"Kolten Wong","18","71","1","6","6","2","16.9 %","12.7 %",".091",".200",".182",".366",".273",".287","78","0.9","-1.2","0.9","0.2","12532"
"Matt Carpenter","17","74","2","11","2","1","17.6 %","20.3 %",".148",".227",".197",".338",".344",".305","89","-0.3","-1.4","-0.1","0.1","8090"
